Nome do Álbum,Data de Lançamento,ID do Álbum,URL do Álbum
Music Of The Spheres,2021-10-15,06mXfvDsRZNfnsGZvX2zpb,https://open.spotify.com/album/06mXfvDsRZNfnsGZvX2zpb
Everyday Life,2019-11-22,2FeyIYDDAQqcOJKOKhvHdr,https://open.spotify.com/album/2FeyIYDDAQqcOJKOKhvHdr
Live in Buenos Aires,2018-12-07,19CvkGjYpifkdwgVJSbog2,https://open.spotify.com/album/19CvkGjYpifkdwgVJSbog2
A Head Full of Dreams,2015-12-04,3cfAM8b8KqJRoIzt3zLKqw,https://open.spotify.com/album/3cfAM8b8KqJRoIzt3zLKqw
Ghost Stories Live 2014,2014-11-21,1hNS0RsxPTFjmKXCgmjSLS,https://open.spotify.com/album/1hNS0RsxPTFjmKXCgmjSLS
Ghost Stories,2014-05-19,2G4AUqfwxcV1UdQjm2ouYr,https://open.spotify.com/album/2G4AUqfwxcV1UdQjm2ouYr
Live 2012,2012-11-19,2OkEsqGTfu8PWRrNHzfr0m,https://open.spotify.com/album/2OkEsqGTfu8PWRrNHzfr0m
Mylo Xyloto,2011-10-24,2R7iJz5uaHjLEVnMkloO18,https://open.spotify.com/album/2R7iJz5uaHjLEVnMkloO18
LeftRightLeftRightLeft (Live),2009-05-15,3pboBm7GTa6V5dFXXCt52b,https://open.spotify.com/album/3pboBm7GTa6V5dFXXCt52b
Viva La Vida (Prospekt's March Edition),2008-11-24,4XTT0NcNHyvl6h9JX2AfEi,https://open.spotify.com/album/4XTT0NcNHyvl6h9JX2AfEi
Viva La Vida or Death and All His Friends,2008-05-26,1CEODgTmTwLyabvwd7HBty,https://open.spotify.com/album/1CEODgTmTwLyabvwd7HBty
X&Y,2005-06-07,4E7bV0pzG0LciBSWTszra6,https://open.spotify.com/album/4E7bV0pzG0LciBSWTszra6
Live 2003,2003-11-01,3JMOZD2qixTTLRW9I6JuF4,https://open.spotify.com/album/3JMOZD2qixTTLRW9I6JuF4
A Rush of Blood to the Head,2002-08-08,0RHX9XECH8IVI3LNgWDpmQ,https://open.spotify.com/album/0RHX9XECH8IVI3LNgWDpmQ
Parachutes,2000-07-10,6ZG5lRT77aJ3btmArcykra,https://open.spotify.com/album/6ZG5lRT77aJ3btmArcykra
